,AAPL,MSFT,GOOGL
1,225.0002,511.7101,191.70049
2,226.931,512.49304,192.35674
3,229.49835,513.2333,192.76537
4,232.36566,513.93994,193.0539
5,235.36479,514.6239,193.28722
6,238.4121,515.2891,193.4988
7,241.4676,515.94037,193.70601
8,244.51442,516.5757,193.91742
9,247.5455,517.1976,194.13693
10,250.55762,517.8072,194.36592
11,253.5507,518.4039,194.60435
12,256.52457,518.98987,194.85124
13,259.47885,519.5644,195.10548
14,262.41397,520.12964,195.36551
15,265.32953,520.68463,195.62964
16,268.2259,521.22644,195.8966
17,271.10333,521.7585,196.1653
18,273.96045,522.28076,196.43462
19,276.7962,522.7907,196.70358
20,279.60965,523.2916,196.97156
21,282.40015,523.782,197.23799
22,285.16678,524.26294,197.50253
23,287.9078,524.7335,197.76503
24,290.6218,525.1948,198.02528
25,293.3078,525.6451,198.2832
26,295.9643,526.08685,198.53876
27,298.58994,526.51984,198.79181
28,301.18353,526.9456,199.04257
29,303.7441,527.3625,199.29114
30,306.2707,527.7695,199.53745
